1,"Severn","River Severn",220,354
2,"Thames","River Thames",215,346
3,"Trent","River Trent",185,297
4,"Aire","River Aire",161,259
5,"Great Ouse","River Great Ouse",143,230
6,"Wye","River Wye",135,215
7,"Tay","River Tay",117,188
8,"Spey","River Spey",107,172
9,"Nene","River Nene",100,161
10,"Clyde","River Clyde",98,158
11,"Tweed","River Tweed",96,155
12,"Eden","River Eden - Cumbria",90,145
13,"Dee","River Dee - Aberdeenshire",85,137
14,"Avon","River Avon - Warwickshire",84,136
15,"Don","River Don - Aberdeenshire",80,129
16,"Bann","River Bann",76,122
17,"Ribble","River Ribble",75,120
18,"Tyne","River Tyne",73,118
19,"Tees","River Tees",70,113
20,"Dee","River Dee - Wales",70,112
